customer_id,customer_name,email,phone,preferred_categories,budget_level,city,registered_at
1,Khách hàng 1,customer1@email.com,0960888017,Vest|Váy công sở|Áo cưới,high,TP.HCM,2022-09-23
2,Khách hàng 2,customer2@email.com,0950785405,Đầm dạ hội|Áo cưới|Áo sơ mi,low,Đà Nẵng,2021-08-04
3,Khách hàng 3,customer3@email.com,0997873101,Váy công sở|Áo sơ mi,high,Đà Nẵng,2022-04-22
4,Khách hàng 4,customer4@email.com,0978608612,Áo cưới|Quần tây,low,Huế,2021-06-23
5,Khách hàng 5,customer5@email.com,0994951883,Áo dài|Đầm dạ hội|Áo sơ mi,high,Cần Thơ,2021-12-10
6,Khách hàng 6,customer6@email.com,0951663795,Váy công sở,low,TP.HCM,2021-07-23
7,Khách hàng 7,customer7@email.com,0942862209,Áo dài,low,Huế,2022-09-18
8,Khách hàng 8,customer8@email.com,0994525678,Áo cưới,medium,Cần Thơ,2021-07-19
9,Khách hàng 9,customer9@email.com,0942747037,Quần tây|Áo cưới|Váy công sở,medium,TP.HCM,2022-11-03
10,Khách hàng 10,customer10@email.com,0933607110,Áo dài|Váy công sở|Áo cưới,low,Cần Thơ,2022-04-21
11,Khách hàng 11,customer11@email.com,0926288475,Áo sơ mi,low,Huế,2021-05-17
12,Khách hàng 12,customer12@email.com,0989920257,Quần tây|Áo sơ mi,high,Đà Nẵng,2022-03-30
13,Khách hàng 13,customer13@email.com,0983534128,Váy công sở|Quần tây|Áo sơ mi,medium,Huế,2021-06-12
14,Khách hàng 14,customer14@email.com,0943183955,Váy công sở|Áo cưới|Quần tây,medium,Đà Nẵng,2022-06-18
15,Khách hàng 15,customer15@email.com,0969038700,Quần tây|Vest,medium,Hà Nội,2023-01-01
16,Khách hàng 16,customer16@email.com,0952910691,Vest|Đầm dạ hội,medium,Cần Thơ,2021-03-24
17,Khách hàng 17,customer17@email.com,0961410126,Vest,low,TP.HCM,2022-12-25
18,Khách hàng 18,customer18@email.com,0964707061,Áo dài,medium,Đà Nẵng,2022-07-10
19,Khách hàng 19,customer19@email.com,0966390708,Áo cưới|Áo dài,low,Huế,2022-08-22
20,Khách hàng 20,customer20@email.com,0910791358,Áo dài|Áo sơ mi|Áo cưới,medium,Đà Nẵng,2021-11-02
21,Khách hàng 21,customer21@email.com,0983300637,Váy công sở|Áo cưới,high,Cần Thơ,2021-08-14
22,Khách hàng 22,customer22@email.com,0975181765,Vest|Đầm dạ hội,medium,Hà Nội,2022-02-03
23,Khách hàng 23,customer23@email.com,0932151928,Quần tây|Váy công sở,medium,Huế,2021-05-11
24,Khách hàng 24,customer24@email.com,0985751409,Áo sơ mi|Áo dài|Áo cưới,high,Hà Nội,2021-03-27
25,Khách hàng 25,customer25@email.com,0916749089,Áo cưới|Vest|Váy công sở,low,Đà Nẵng,2022-01-24
26,Khách hàng 26,customer26@email.com,0955298556,Vest|Áo cưới,medium,Huế,2021-10-12
27,Khách hàng 27,customer27@email.com,0912601580,Đầm dạ hội|Áo dài,medium,Cần Thơ,2021-02-23
28,Khách hàng 28,customer28@email.com,0997477029,Vest|Quần tây,low,Hà Nội,2021-02-01
29,Khách hàng 29,customer29@email.com,0993394260,Vest,low,TP.HCM,2021-09-02
30,Khách hàng 30,customer30@email.com,0925353091,Áo cưới,high,Cần Thơ,2021-08-12
31,Khách hàng 31,customer31@email.com,0932520277,Quần tây|Đầm dạ hội,medium,Cần Thơ,2022-09-14
32,Khách hàng 32,customer32@email.com,0924508768,Quần tây|Áo dài|Vest,medium,Cần Thơ,2021-01-27
33,Khách hàng 33,customer33@email.com,0963238057,Áo sơ mi|Quần tây,medium,TP.HCM,2021-03-19
34,Khách hàng 34,customer34@email.com,0950477742,Quần tây|Váy công sở|Vest,low,Cần Thơ,2021-05-04
35,Khách hàng 35,customer35@email.com,0967495923,Váy công sở|Áo dài|Đầm dạ hội,high,Đà Nẵng,2021-03-12
36,Khách hàng 36,customer36@email.com,0975793759,Quần tây|Đầm dạ hội|Áo dài,medium,Hà Nội,2022-03-20
37,Khách hàng 37,customer37@email.com,0930534124,Quần tây|Áo cưới,high,Huế,2021-06-30
38,Khách hàng 38,customer38@email.com,0982232344,Áo sơ mi|Quần tây|Đầm dạ hội,high,Huế,2022-04-22
39,Khách hàng 39,customer39@email.com,0946023439,Váy công sở|Quần tây,high,Đà Nẵng,2021-09-09
40,Khách hàng 40,customer40@email.com,0942730796,Đầm dạ hội,medium,Huế,2022-08-07
41,Khách hàng 41,customer41@email.com,0976344695,Quần tây|Áo cưới|Đầm dạ hội,low,Đà Nẵng,2021-07-06
42,Khách hàng 42,customer42@email.com,0955679506,Vest|Đầm dạ hội,medium,Đà Nẵng,2022-09-03
43,Khách hàng 43,customer43@email.com,0935643159,Đầm dạ hội|Áo sơ mi|Áo dài,high,Hà Nội,2021-09-05
44,Khách hàng 44,customer44@email.com,0973900135,Áo cưới|Váy công sở|Áo sơ mi,low,Huế,2022-04-04
45,Khách hàng 45,customer45@email.com,0939742165,Áo dài,medium,Huế,2022-12-10
46,Khách hàng 46,customer46@email.com,0988055069,Đầm dạ hội,high,Đà Nẵng,2022-04-30
47,Khách hàng 47,customer47@email.com,0983871890,Áo sơ mi|Đầm dạ hội|Áo cưới,high,Đà Nẵng,2021-12-27
48,Khách hàng 48,customer48@email.com,0940942292,Áo cưới|Đầm dạ hội|Quần tây,medium,Hà Nội,2021-07-17
49,Khách hàng 49,customer49@email.com,0934850391,Áo dài|Quần tây,high,TP.HCM,2021-08-10
50,Khách hàng 50,customer50@email.com,0990099897,Áo cưới|Đầm dạ hội|Áo sơ mi,high,Đà Nẵng,2021-04-13
51,Khách hàng 51,customer51@email.com,0958436637,Đầm dạ hội,low,TP.HCM,2021-11-06
52,Khách hàng 52,customer52@email.com,0926989677,Quần tây,high,Đà Nẵng,2021-02-16
53,Khách hàng 53,customer53@email.com,0926948946,Áo sơ mi,medium,Huế,2021-04-16
54,Khách hàng 54,customer54@email.com,0973001391,Áo sơ mi,medium,Huế,2022-03-28
55,Khách hàng 55,customer55@email.com,0974119726,Vest|Áo dài,medium,Hà Nội,2021-03-08
56,Khách hàng 56,customer56@email.com,0994482772,Áo cưới|Áo dài,high,Hà Nội,2021-06-05
57,Khách hàng 57,customer57@email.com,0950780112,Váy công sở,high,Hà Nội,2021-09-12
58,Khách hàng 58,customer58@email.com,0991378577,Áo sơ mi,medium,Cần Thơ,2022-09-26
59,Khách hàng 59,customer59@email.com,0961053474,Váy công sở,high,Huế,2022-03-30
60,Khách hàng 60,customer60@email.com,0950987442,Váy công sở|Áo sơ mi,medium,Cần Thơ,2022-09-28
61,Khách hàng 61,customer61@email.com,0923318904,Áo sơ mi,high,TP.HCM,2022-10-03
62,Khách hàng 62,customer62@email.com,0920896797,Đầm dạ hội,high,TP.HCM,2021-09-03
63,Khách hàng 63,customer63@email.com,0931009452,Áo sơ mi,low,Hà Nội,2022-02-23
64,Khách hàng 64,customer64@email.com,0949092160,Quần tây|Áo sơ mi,medium,Hà Nội,2021-08-26
65,Khách hàng 65,customer65@email.com,0970939053,Quần tây|Đầm dạ hội,high,Hà Nội,2022-12-05
66,Khách hàng 66,customer66@email.com,0989160218,Đầm dạ hội,high,TP.HCM,2022-03-12
67,Khách hàng 67,customer67@email.com,0996924061,Áo sơ mi,low,TP.HCM,2021-09-30
68,Khách hàng 68,customer68@email.com,0932269779,Áo dài,low,Đà Nẵng,2022-09-02
69,Khách hàng 69,customer69@email.com,0926690465,Váy công sở|Áo sơ mi|Đầm dạ hội,medium,Huế,2022-12-07
70,Khách hàng 70,customer70@email.com,0977172238,Quần tây|Áo cưới,medium,Cần Thơ,2022-05-21
71,Khách hàng 71,customer71@email.com,0967985905,Áo dài|Áo sơ mi,low,Đà Nẵng,2022-09-11
72,Khách hàng 72,customer72@email.com,0987201917,Áo dài|Váy công sở,low,Cần Thơ,2021-01-22
73,Khách hàng 73,customer73@email.com,0933513701,Váy công sở|Đầm dạ hội|Áo sơ mi,low,Huế,2022-06-16
