customer_id,customer_name,email,phone,preferred_categories,budget_level,city,registered_at,gender,age_group
1,Khách hàng 1,customer1@email.com,960888017,Vest|Váy công sở|Áo cưới,high,TP.HCM,2022-09-23,Nữ,46-55
2,Khách hàng 2,customer2@email.com,950785405,Đầm dạ hội|Áo cưới|Áo sơ mi,low,Đà Nẵng,2021-08-04,Nam,18-25
3,Khách hàng 3,customer3@email.com,997873101,Váy công sở|Áo sơ mi,high,Đà Nẵng,2022-04-22,Nữ,26-35
4,Khách hàng 4,customer4@email.com,978608612,Áo cưới|Quần tây,low,Huế,2021-06-23,Nữ,46-55
5,Khách hàng 5,customer5@email.com,994951883,Áo dài|Đầm dạ hội|Áo sơ mi,high,Cần Thơ,2021-12-10,Nam,36-45
6,Khách hàng 6,customer6@email.com,951663795,Váy công sở,low,TP.HCM,2021-07-23,Nữ,26-35
7,Khách hàng 7,customer7@email.com,942862209,Áo dài,low,Huế,2022-09-18,Nam,46-55
8,Khách hàng 8,customer8@email.com,994525678,Áo cưới,medium,Cần Thơ,2021-07-19,Nữ,18-25
9,Khách hàng 9,customer9@email.com,942747037,Quần tây|Áo cưới|Váy công sở,medium,TP.HCM,2022-11-03,Nữ,36-45
10,Khách hàng 10,customer10@email.com,933607110,Áo dài|Váy công sở|Áo cưới,low,Cần Thơ,2022-04-21,Nữ,26-35
11,Khách hàng 11,customer11@email.com,926288475,Áo sơ mi,low,Huế,2021-05-17,Nữ,55+
12,Khách hàng 12,customer12@email.com,989920257,Quần tây|Áo sơ mi,high,Đà Nẵng,2022-03-30,Nữ,26-35
13,Khách hàng 13,customer13@email.com,983534128,Váy công sở|Quần tây|Áo sơ mi,medium,Huế,2021-06-12,Nữ,46-55
14,Khách hàng 14,customer14@email.com,943183955,Váy công sở|Áo cưới|Quần tây,medium,Đà Nẵng,2022-06-18,Nữ,26-35
15,Khách hàng 15,customer15@email.com,969038700,Quần tây|Vest,medium,Hà Nội,2023-01-01,Nữ,36-45
16,Khách hàng 16,customer16@email.com,952910691,Vest|Đầm dạ hội,medium,Cần Thơ,2021-03-24,Nữ,26-35
17,Khách hàng 17,customer17@email.com,961410126,Vest,low,TP.HCM,2022-12-25,Nam,46-55
18,Khách hàng 18,customer18@email.com,964707061,Áo dài,medium,Đà Nẵng,2022-07-10,Nữ,36-45
19,Khách hàng 19,customer19@email.com,966390708,Áo cưới|Áo dài,low,Huế,2022-08-22,Nữ,36-45
20,Khách hàng 20,customer20@email.com,910791358,Áo dài|Áo sơ mi|Áo cưới,medium,Đà Nẵng,2021-11-02,Nam,26-35
21,Khách hàng 21,customer21@email.com,983300637,Váy công sở|Áo cưới,high,Cần Thơ,2021-08-14,Nữ,26-35
22,Khách hàng 22,customer22@email.com,975181765,Vest|Đầm dạ hội,medium,Hà Nội,2022-02-03,Nam,55+
23,Khách hàng 23,customer23@email.com,932151928,Quần tây|Váy công sở,medium,Huế,2021-05-11,Nam,36-45
24,Khách hàng 24,customer24@email.com,985751409,Áo sơ mi|Áo dài|Áo cưới,high,Hà Nội,2021-03-27,Nữ,55+
25,Khách hàng 25,customer25@email.com,916749089,Áo cưới|Vest|Váy công sở,low,Đà Nẵng,2022-01-24,Nam,18-25
26,Khách hàng 26,customer26@email.com,955298556,Vest|Áo cưới,medium,Huế,2021-10-12,Nữ,18-25
27,Khách hàng 27,customer27@email.com,912601580,Đầm dạ hội|Áo dài,medium,Cần Thơ,2021-02-23,Nữ,36-45
28,Khách hàng 28,customer28@email.com,997477029,Vest|Quần tây,low,Hà Nội,2021-02-01,Nữ,26-35
29,Khách hàng 29,customer29@email.com,993394260,Vest,low,TP.HCM,2021-09-02,Nam,26-35
30,Khách hàng 30,customer30@email.com,925353091,Áo cưới,high,Cần Thơ,2021-08-12,Nữ,26-35
31,Khách hàng 31,customer31@email.com,932520277,Quần tây|Đầm dạ hội,medium,Cần Thơ,2022-09-14,Nam,26-35
32,Khách hàng 32,customer32@email.com,924508768,Quần tây|Áo dài|Vest,medium,Cần Thơ,2021-01-27,Nam,26-35
33,Khách hàng 33,customer33@email.com,963238057,Áo sơ mi|Quần tây,medium,TP.HCM,2021-03-19,Nữ,18-25
34,Khách hàng 34,customer34@email.com,950477742,Quần tây|Váy công sở|Vest,low,Cần Thơ,2021-05-04,Nữ,36-45
35,Khách hàng 35,customer35@email.com,967495923,Váy công sở|Áo dài|Đầm dạ hội,high,Đà Nẵng,2021-03-12,Nam,36-45
36,Khách hàng 36,customer36@email.com,975793759,Quần tây|Đầm dạ hội|Áo dài,medium,Hà Nội,2022-03-20,Nữ,26-35
37,Khách hàng 37,customer37@email.com,930534124,Quần tây|Áo cưới,high,Huế,2021-06-30,Nam,36-45
38,Khách hàng 38,customer38@email.com,982232344,Áo sơ mi|Quần tây|Đầm dạ hội,high,Huế,2022-04-22,Nữ,46-55
39,Khách hàng 39,customer39@email.com,946023439,Váy công sở|Quần tây,high,Đà Nẵng,2021-09-09,Nữ,26-35
40,Khách hàng 40,customer40@email.com,942730796,Đầm dạ hội,medium,Huế,2022-08-07,Nam,18-25
41,Khách hàng 41,customer41@email.com,976344695,Quần tây|Áo cưới|Đầm dạ hội,low,Đà Nẵng,2021-07-06,Nữ,18-25
